2018-10-04 15:43:22,544 | WARN  | Transport Connection to: tcp://127.0.0.1:55264 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55264@61616
2018-10-04 15:43:22,544 | WARN  | Transport Connection to: tcp://127.0.0.1:55259 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55259@61616
2018-10-04 15:43:22,544 | WARN  | Transport Connection to: tcp://127.0.0.1:55267 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55267@61616
2018-10-04 15:43:22,544 | WARN  | Transport Connection to: tcp://127.0.0.1:55265 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55265@61616
2018-10-04 15:43:22,544 | WARN  | Transport Connection to: tcp://127.0.0.1:55261 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55261@61616
2018-10-04 15:43:22,544 | WARN  | Transport Connection to: tcp://127.0.0.1:55262 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55262@61616
2018-10-04 15:43:32,342 | WARN  | Transport Connection to: tcp://127.0.0.1:55256 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55256@61616
2018-10-04 15:43:38,299 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6eebc39e: startup date [Thu Oct 04 15:43:38 WEST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2018-10-04 15:43:38,955 | INFO  | PListStore:[D:\Shashank\Shashank_backupFromC\ARIA_new\ARIA\System\External\apache-activemq-5.12.1\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2018-10-04 15:43:38,986 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Shashank\Shashank_backupFromC\ARIA_new\ARIA\System\External\apache-activemq-5.12.1\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2018-10-04 15:43:39,752 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-10-04 15:43:39,815 | INFO  | Recovering from the journal @1:4246899 | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-10-04 15:43:39,830 | INFO  | Recovery replayed 69 operations from the journal in 0.047 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-10-04 15:43:40,002 | INFO  | Apache ActiveMQ 5.12.1 (localhost, ID:MIRAGE-55291-1538664219861-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2018-10-04 15:43:40,127 | INFO  | Listening for connections at: tcp://127.0.0.1:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-10-04 15:43:40,127 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2018-10-04 15:43:40,127 | INFO  | Listening for connections at: amqp://127.0.0.1:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-10-04 15:43:40,127 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2018-10-04 15:43:40,143 | INFO  | Listening for connections at: stomp://127.0.0.1:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-10-04 15:43:40,143 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2018-10-04 15:43:40,143 | INFO  | Listening for connections at: mqtt://127.0.0.1:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-10-04 15:43:40,143 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2018-10-04 15:43:40,299 | INFO  | Listening for connections at ws://127.0.0.1:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2018-10-04 15:43:40,299 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2018-10-04 15:43:40,299 | INFO  | Apache ActiveMQ 5.12.1 (localhost, ID:MIRAGE-55291-1538664219861-0:1) started | org.apache.activemq.broker.BrokerService | main
2018-10-04 15:43:40,299 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2018-10-04 15:43:40,564 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2018-10-04 15:43:40,564 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2018-10-04 15:43:40,611 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2018-10-04 15:43:40,799 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2018-10-04 15:48:35,457 | WARN  | Transport Connection to: tcp://127.0.0.1:55355 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55355@61616
2018-10-04 15:48:35,458 | WARN  | Transport Connection to: tcp://127.0.0.1:55357 failed: java.net.SocketException: Unrecognized Windows Sockets error: 0: recv failed | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55357@61616
2018-10-04 15:48:35,458 | WARN  | Transport Connection to: tcp://127.0.0.1:55358 failed: java.net.SocketException: Unrecognized Windows Sockets error: 0: recv failed | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55358@61616
2018-10-04 15:48:35,458 | WARN  | Transport Connection to: tcp://127.0.0.1:55359 failed: java.net.SocketException: Unrecognized Windows Sockets error: 0: recv failed | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55359@61616
2018-10-04 15:48:35,458 | WARN  | Transport Connection to: tcp://127.0.0.1:55361 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55361@61616
2018-10-04 15:48:35,458 | WARN  | Transport Connection to: tcp://127.0.0.1:55353 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55353@61616
2018-10-04 15:48:35,458 | WARN  | Transport Connection to: tcp://127.0.0.1:55360 failed: java.net.SocketException: Unrecognized Windows Sockets error: 0: recv failed | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55360@61616
2018-10-04 15:48:35,457 | WARN  | Transport Connection to: tcp://127.0.0.1:55354 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55354@61616
2018-10-04 15:48:35,457 | WARN  | Transport Connection to: tcp://127.0.0.1:55356 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55356@61616
2018-10-04 15:48:35,457 | WARN  | Transport Connection to: tcp://127.0.0.1:55352 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55352@61616
2018-10-04 15:48:35,516 | WARN  | Transport Connection to: tcp://127.0.0.1:55354 failed: org.apache.activemq.transport.InactivityIOException: Cannot send, channel has already failed: tcp://127.0.0.1:55354 | org.apache.activemq.broker.TransportConnection.Transport | Async Exception Handler
2018-10-04 15:48:44,936 | WARN  | Transport Connection to: tcp://127.0.0.1:55349 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55349@61616
2018-10-04 15:48:49,557 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6eebc39e: startup date [Thu Oct 04 15:48:49 WEST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2018-10-04 15:48:50,244 | INFO  | PListStore:[D:\Shashank\Shashank_backupFromC\ARIA_new\ARIA\System\External\apache-activemq-5.12.1\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2018-10-04 15:48:50,260 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Shashank\Shashank_backupFromC\ARIA_new\ARIA\System\External\apache-activemq-5.12.1\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2018-10-04 15:48:51,025 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-10-04 15:48:51,072 | INFO  | Recovering from the journal @1:4255586 | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-10-04 15:48:51,088 | INFO  | Recovery replayed 60 operations from the journal in 0.031 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2018-10-04 15:48:51,260 | INFO  | Apache ActiveMQ 5.12.1 (localhost, ID:MIRAGE-54707-1538664531104-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2018-10-04 15:48:51,353 | INFO  | Listening for connections at: tcp://127.0.0.1:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-10-04 15:48:51,353 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2018-10-04 15:48:51,353 | INFO  | Listening for connections at: amqp://127.0.0.1:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-10-04 15:48:51,353 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2018-10-04 15:48:51,369 | INFO  | Listening for connections at: stomp://127.0.0.1:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-10-04 15:48:51,369 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2018-10-04 15:48:51,369 | INFO  | Listening for connections at: mqtt://127.0.0.1:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2018-10-04 15:48:51,369 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2018-10-04 15:48:51,510 | INFO  | Listening for connections at ws://127.0.0.1:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2018-10-04 15:48:51,510 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2018-10-04 15:48:51,510 | INFO  | Apache ActiveMQ 5.12.1 (localhost, ID:MIRAGE-54707-1538664531104-0:1) started | org.apache.activemq.broker.BrokerService | main
2018-10-04 15:48:51,510 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2018-10-04 15:48:51,760 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2018-10-04 15:48:51,760 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2018-10-04 15:48:51,807 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2018-10-04 15:48:52,010 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2018-10-04 15:57:42,828 | WARN  | Transport Connection to: tcp://127.0.0.1:54760 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54760@61616
2018-10-04 15:57:42,829 | WARN  | Transport Connection to: tcp://127.0.0.1:54770 failed: java.net.SocketException: Unrecognized Windows Sockets error: 0: recv failed | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54770@61616
2018-10-04 15:57:42,829 | WARN  | Transport Connection to: tcp://127.0.0.1:54766 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54766@61616
2018-10-04 15:57:42,829 | WARN  | Transport Connection to: tcp://127.0.0.1:54761 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54761@61616
2018-10-04 15:57:42,829 | WARN  | Transport Connection to: tcp://127.0.0.1:54767 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54767@61616
2018-10-04 15:57:42,829 | WARN  | Transport Connection to: tcp://127.0.0.1:54764 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54764@61616
2018-10-04 15:57:42,829 | WARN  | Transport Connection to: tcp://127.0.0.1:54762 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54762@61616
2018-10-04 15:57:42,829 | WARN  | Transport Connection to: tcp://127.0.0.1:54765 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54765@61616
2018-10-04 15:57:42,828 | WARN  | Transport Connection to: tcp://127.0.0.1:54763 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54763@61616
2018-10-04 15:57:42,828 | WARN  | Transport Connection to: tcp://127.0.0.1:54759 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54759@61616
2018-10-04 16:02:35,425 | WARN  | Transport Connection to: tcp://127.0.0.1:54752 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54752@61616
